1	5158
10	220
100	9
101	5
1014	1
102	3
103	6
104	6
1042	1
1043	1
105	5
1055	1
1056	1
1057	1
106	5
1063	1
107	2
1072	2
108	3
1089	1
109	2
11	182
110	6
1103	1
1105	1
111	1
112	3
1120	1
11240	1
113	3
1131	1
1133	1
114	6
115	3
1152	1
116	1
1162	1
11676	1
117	3
1171	1
118	4
119	1
12	190
120	4
121	2
1214	1
1215	1
122	5
123	4
1235	1
124	3
125	5
1254	1
126	4
1267	1
127	5
128	1
13	149
130	5
131	2
132	5
1329	1
133	2
134	2
1342	1
135	1
1356	1
136	5
137	2
138	4
139	2
14	116
142	1
143	2
144	2
145	5
1458	1
146	1
147	3
1476	1
148	5
149	2
15	98
150	2
151	1
152	4
153	4
1539	1
156	3
157	2
1570	1
158	1
159	1
16	100
160	4
161	1
1610	1
1618	1
162	3
163	2
1636	1
164	1
165	1
166	1
167	1
168	1
169	4
17	83
170	2
171	1
172	1
174	1
175	2
1750	1
176	3
177	3
179	2
18	102
180	1
1803	1
181	2
182	2
183	3
184	1
1847	1
185	1
186	3
187	1
188	2
189	3
19	78
190	4
1906	1
191	1
1919	1
192	1
193	2
194	2
196	4
1966	1
197	2
198	2
2	2045
20	75
200	1
201	1
202	1
2028	1
203	1
2041	1
205	1
206	3
207	1
208	5
209	2
2098	1
21	63
210	2
211	1
2124	1
213	2
214	3
215	4
217	2
218	1
219	1
22	64
22046	1
221	3
222	1
223	1
224	4
225	3
227	1
228	1
229	2
23	54
2307	1
231	1
232	2
233	2
234	1
235	4
236	1
237	1
238	1
24	56
245	2
248	3
2489	1
25	47
250	2
251	3
252	1
254	1
255	3
257	2
258	1
259	1
26	48
260	1
261	1
263	1
265	2
269	1
2697	1
27	41
272	3
275	1
276	1
278	1
28	39
281	1
282	1
283	2
285	2
289	2
29	39
291	2
2923	1
293	1
294	1
296	1
3	1172
30	31
301	1
305	1
3066	1
308	1
31	36
311	1
312	1
3128	1
314	2
316	2
3193	2
32	32
322	2
323	1
325	1
33	33
331	1
332	1
333	1
334	1
335	1
336	2
339	1
34	30
341	1
346	1
348	1
349	1
35	35
352	1
355	2
359	1
36	31
362	1
363	1
365	1
366	2
37	25
370	1
375	2
376	1
377	1
378	1
3793	1
38	21
381	2
383	1
384	2
387	1
3876	1
389	2
39	25
391	1
396	1
398	1
3987	1
4	838
40	29
400	1
405	1
406	1
41	18
411	1
412	1
4134	1
415	1
418	1
42	17
422	1
424	1
425	1
43	22
430	1
432	1
439	1
44	10
441	2
442	1
45	13
451	1
454	2
459	1
46	29
461	2
463	1
465	1
47	25
470	1
473	2
48	12
483	1
49	24
495	1
5	548
50	19
506	2
51	26
52	6
521	1
529	1
53	13
5330	1
5378	1
539	1
54	16
547	1
548	1
549	1
55	11
559	1
56	13
562	1
564	1
57	9
574	1
575	1
58	13
580	1
5812	1
583	1
585	1
59	15
590	1
591	1
5989	1
6	435
60	12
607	1
6070	1
608	1
609	1
61	14
6147	1
6149	1
62	9
622	1
63	12
64	14
643	2
649	1
65	10
66	10
67	15
672	1
675	1
68	10
6842	1
687	2
688	1
69	9
692	1
7	344
70	19
709	1
71	10
719	1
72	10
723	1
726	1
729	1
73	9
74	7
742	1
743	1
749	1
75	10
754	1
76	8
761	1
762	1
766	1
77	4
78	10
786	1
79	8
790	1
799	1
8	313
80	7
81	8
8115	1
82	6
822	1
828	1
83	7
835	1
84	10
847	1
85	8
852	1
86	10
865	1
87	5
873	1
877	1
88	6
8856	1
89	11
899	1
9	280
90	7
91	7
915	1
92	8
9229	1
93	8
9338	1
939	1
94	6
95	13
96	5
97	7
970	1
973	1
977	1
98	5
983	1
99	3
